Module	Section	Sample Name	Source
featureCounts	all_sections	SRR1039508	/work/results/counts/gene_counts.tsv.summary
featureCounts	all_sections	SRR1039509	/work/results/counts/gene_counts.tsv.summary
featureCounts	all_sections	SRR1039512	/work/results/counts/gene_counts.tsv.summary
featureCounts	all_sections	SRR1039513	/work/results/counts/gene_counts.tsv.summary
STAR	SummaryLog	SRR1039512	/work/align/SRR1039512_Log.final.out
STAR	SummaryLog	SRR1039508	/work/align/SRR1039508_Log.final.out
STAR	SummaryLog	SRR1039513	/work/align/SRR1039513_Log.final.out
STAR	SummaryLog	SRR1039509	/work/align/SRR1039509_Log.final.out
fastp	all_sections	SRR1039509_1	/work/results/qc/fastp/SRR1039509_fastp.json
fastp	all_sections	SRR1039513_1	/work/results/qc/fastp/SRR1039513_fastp.json
fastp	all_sections	SRR1039512_1	/work/results/qc/fastp/SRR1039512_fastp.json
fastp	all_sections	SRR1039508_1	/work/results/qc/fastp/SRR1039508_fastp.json
FastQC	all_sections	SRR1039508_2	/work/results/qc/fastqc/SRR1039508_2_fastqc.zip
FastQC	all_sections	SRR1039513_2	/work/results/qc/fastqc/SRR1039513_2_fastqc.zip
FastQC	all_sections	SRR1039508_1	/work/results/qc/fastqc/SRR1039508_1_fastqc.zip
FastQC	all_sections	SRR1039509_1	/work/results/qc/fastqc/SRR1039509_1_fastqc.zip
FastQC	all_sections	SRR1039513_1	/work/results/qc/fastqc/SRR1039513_1_fastqc.zip
FastQC	all_sections	SRR1039512_2	/work/results/qc/fastqc/SRR1039512_2_fastqc.zip
FastQC	all_sections	SRR1039509_2	/work/results/qc/fastqc/SRR1039509_2_fastqc.zip
FastQC	all_sections	SRR1039512_1	/work/results/qc/fastqc/SRR1039512_1_fastqc.zip
