Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSG00000290825,DDX11L2,0.001267687456960059,0.6544669455917482,1,0,-0.6544669455917482,1
ENSG00000238009,ENSG00000238009,0.002535374913920118,-1.3455330544082509,0.45527785729580433,0.008056511418893929,1.3455330544082509,0.4552778572958042
ENSG00000241860,ENSG00000241860,0.008873812198720413,-2.432995895658591,0.00004554667960476046,0.05317297536469993,2.432995895658591,0.000045546679604760414
ENSG00000286448,ENSG00000286448,0,-1.3455330544082518,0.6471242317822016,0.0016113022837787856,1.3455330544082518,0.6471242317822016
ENSG00000290385,ENSG00000290385,0.002535374913920118,-4.00849806713068,0.00000000431505775476598,0.05961818449981507,4.00849806713068,0.0000000043150577547659735
ENSG00000291215,ENSG00000291215,0.051975185735362424,-0.27514372651685326,0.7205706316519742,0.06284078906737264,0.27514372651685326,0.7205706316519744
ENSG00000237491,LINC01409,0.11409187112640531,0.6386996297334324,0.14245332242069386,0.07250860277004535,-0.6386996297334324,0.14245332242069383
ENSG00000290784,ENSG00000290784,0.020282999311360943,0.041490068700996474,1,0.01933562740534543,-0.041490068700996474,1
ENSG00000177757,FAM87B,0,-2.345533054408251,0.19651968410844342,0.004833906851336357,2.345533054408251,0.19651968410844342
ENSG00000225880,LINC00115,0.04310137353664201,0.46182186764935285,0.5382778158715703,0.030614743391796928,-0.46182186764935285,0.5382778158715709
ENSG00000228794,LINC01128,0.17494086906048814,1.2498460622582437,0.00036797592021719903,0.07250860277004535,-1.2498460622582437,0.00036797592021719936
ENSG00000288531,ENSG00000288531,0.008873812198720413,1.6544669455917482,0.20380907468093362,0.0016113022837787856,-1.6544669455917482,0.20380907468093357
ENSG00000230368,FAM41C,0.001267687456960059,-0.930495555129407,0.7726851161955045,0.0032226045675575713,0.930495555129407,0.7726851161955045
ENSG00000272438,ENSG00000272438,0.001267687456960059,-1.3455330544082509,0.5436756202891203,0.004833906851336357,1.3455330544082509,0.543675620289119
ENSG00000230699,ENSG00000230699,0.001267687456960059,-0.34553305440825177,1,0.0016113022837787856,0.34553305440825177,1
ENSG00000241180,ENSG00000241180,0,-1.3455330544082518,0.6471242317822016,0.0016113022837787856,1.3455330544082518,0.6471242317822016
ENSG00000187634,SAMD11,0.001267687456960059,0.6544669455917482,1,0,-0.6544669455917482,1
ENSG00000188976,NOC2L,0.2941034900147337,0.4852300887085792,0.15399738927744133,0.20946929689124213,-0.4852300887085792,0.15399738927744128
ENSG00000187961,KLHL17,0.017747624397440827,-0.023604959520888258,1,0.01772432512156664,0.023604959520888258,1
ENSG00000187583,PLEKHN1,0.003803062370880177,-0.3455330544082509,1,0.004833906851336357,0.3455330544082509,1
ENSG00000272512,ENSG00000272512,0.001267687456960059,-2.804964673045548,0.015387754621892036,0.016113022837787858,2.804964673045548,0.015387754621892041
ENSG00000188290,HES4,0.006338437284800295,-4.858602636647621,0.000000000000000000014933066625415586,0.21913711059391486,4.858602636647621,0.000000000000000000014933066625415604
ENSG00000187608,ISG15,0.5476409814067456,0.23278107030353934,0.5706361735194106,0.46566636001206907,-0.23278107030353934,0.5706361735194109
ENSG00000224969,ENSG00000224969,0.002535374913920118,-0.3455330544082509,1,0.0032226045675575713,0.3455330544082509,1
ENSG00000188157,AGRN,0.005070749827840236,-0.8309598815784938,0.5859996537811799,0.009667813702672714,0.8309598815784938,0.5859996537811799
ENSG00000291156,ENSG00000291156,0.001267687456960059,-0.34553305440825177,1,0.0016113022837787856,0.34553305440825177,1
ENSG00000237330,RNF223,0.001267687456960059,0.6544669455917482,1,0,-0.6544669455917482,1
