Feature,Normalized.Dispersion
ENSG00000290825,NaN
ENSG00000238009,-0.6613634760989067
ENSG00000241860,-1.54535822332815
ENSG00000286448,NaN
ENSG00000290385,-1.7916232665935248
ENSG00000291215,1.3214362652745328
ENSG00000237491,0.13797615052960635
ENSG00000290784,-0.5632722898248451
ENSG00000177757,-4.558758093668171
ENSG00000225880,0.0541194070530237
ENSG00000228794,-0.6020170589380912
ENSG00000288531,0.749252459139624
ENSG00000230368,-4.065687086569962
ENSG00000272438,-0.4963266819673614
ENSG00000230699,NaN
ENSG00000241180,NaN
ENSG00000187634,NaN
ENSG00000188976,-1.1446206250088737
ENSG00000187961,-0.6537065013816195
ENSG00000187583,-1.3806235227055046
ENSG00000272512,-2.221151993498212
ENSG00000188290,3.6081060747865044
ENSG00000187608,2.229116856167807
ENSG00000224969,0.44166167726509686
ENSG00000188157,-0.9930355747282066
ENSG00000291156,NaN
ENSG00000237330,NaN
ENSG00000131591,4.71703502670916
ENSG00000285812,-0.15185252500060137
ENSG00000223823,1.7276924014806048
ENSG00000162571,NaN
ENSG00000186891,4.081146778206973
ENSG00000186827,2.9928804718739443
ENSG00000078808,1.8967440332623238
ENSG00000176022,1
ENSG00000184163,11.759339327919609
ENSG00000260179,NaN
ENSG00000160087,-1.66096141327482
ENSG00000230415,-0.48743640686390943
ENSG00000162572,-0.9559196944662478
ENSG00000131584,-0.99863418610565
ENSG00000169972,-0.8569395389729424
ENSG00000127054,0.309627126534145
ENSG00000224051,-0.8654265230297237
ENSG00000169962,0.4681699541477413
ENSG00000107404,7.710805469085292
ENSG00000162576,2.5539952811722704
ENSG00000175756,-2.164368580789464
ENSG00000221978,-0.3730557711760808
ENSG00000224870,-1.2557511016826088
ENSG00000242485,-1.5171457717816421
ENSG00000272455,-0.6888222584440058
ENSG00000235098,-2.8720758939667768
ENSG00000215915,-0.022390601431145594
ENSG00000160072,-1.0675409724633322
ENSG00000290916,NaN
ENSG00000197785,-0.9795450107239517
ENSG00000205090,-0.22503773527176665
ENSG00000160075,-1.1222532402686687
ENSG00000215014,0.37253412235992345
ENSG00000228594,-2.251522026732186
ENSG00000286989,0.3728567487083518
ENSG00000272106,-1.2343384518491767
ENSG00000197530,-0.6925018715676289
ENSG00000189409,1.554658860743041
ENSG00000248333,-0.2731680321319616
ENSG00000272004,-0.6884454360935842
ENSG00000189339,0.3057909159510513
ENSG00000008128,-0.36537006324182
ENSG00000290854,-0.009996917344015732
ENSG00000008130,-0.579363754107994
ENSG00000078369,-0.8019354007425511
ENSG00000231050,-0.24024546522925122
ENSG00000178821,NaN
ENSG00000142609,NaN
ENSG00000187730,41.05653916783635
ENSG00000067606,1.4712438664716
ENSG00000271806,-0.3859881071910332
ENSG00000182873,NaN
ENSG00000162585,0.8601191924746757
ENSG00000234396,0.8212206035365746
ENSG00000157933,1.922709901274662
ENSG00000287356,6.005017752257344
ENSG00000116151,0.9299475840576634
ENSG00000272420,-1.5045846729506251
ENSG00000157916,-1.5877369967101875
ENSG00000157911,-0.8203257220064134
ENSG00000149527,1.285454987706251
ENSG00000224387,NaN
ENSG00000157881,-0.740654945323642
ENSG00000272449,1.1169759083573905
ENSG00000238164,0.697467747188312
ENSG00000157873,-1.176698847444425
ENSG00000228037,-1.3887260521902405
