"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
7.09941768228389e-89,2.54544418830596,0.937,0.299,1.4973381833705e-84,"0","INPP4B"
2.79668186893044e-79,2.19958614702111,0.932,0.279,5.89848172976118e-75,"0","IL7R"
1.11212196840226e-68,1.68502899432819,0.986,0.359,2.3455764435572e-64,"0","BCL11B"
1.64740709429666e-65,1.76082156926122,0.946,0.36,3.47454630258109e-61,"0","TRAC"
2.01170702317541e-65,1.73461748070184,0.95,0.288,4.24289128257925e-61,"0","CAMK4"
3.37597658209312e-64,1.93781554453518,0.9,0.289,7.1202722092926e-60,"0","ITK"
4.27973221275232e-64,1.98706074713252,0.959,0.605,9.02638320991592e-60,"0","CDC14A"
4.15277981244701e-62,1.34578901057775,0.995,0.969,8.75862790243198e-58,"0","ARHGAP15"
1.29726711702744e-61,1.69299168529482,0.928,0.312,2.73606607652257e-57,"0","IL32"
4.91566698285285e-59,2.36590244599047,0.796,0.279,1.03676332335349e-54,"0","ANK3"
1.43396755563806e-57,1.58405064386521,0.932,0.348,3.02438097159623e-53,"0","TCF7"
2.45434973203524e-57,1.87195995578096,0.864,0.284,5.17646901983552e-53,"0","CD6"
4.26039271159098e-56,1.80980018212438,0.928,0.509,8.98559426801654e-52,"0","SERINC5"
1.15155278711455e-55,1.53042396440385,0.932,0.309,2.4287399833033e-51,"0","CD3D"
3.96872146215087e-55,1.71354486477412,0.891,0.362,8.3704304358224e-51,"0","RORA"
6.06046240215999e-55,1.72083787634382,0.946,0.629,1.27821212523956e-50,"0","TTC39C"
7.6092464284883e-55,2.14551741231839,0.67,0.152,1.60486616423247e-50,"0","CD28"
2.01029284736319e-53,1.61113818687083,0.855,0.269,4.23990864437371e-49,"0","CD3G"
6.77367272589339e-53,1.96462481112627,0.787,0.252,1.42863531461818e-48,"0","CD2"
1.61879346971683e-52,1.44145209780069,0.941,0.698,3.41419730697978e-48,"0","LDHB"
8.2965120825424e-51,1.69201710045588,0.864,0.309,1.74981736332902e-46,"0","PRKCQ"
7.91504960831494e-50,1.43672360388247,0.928,0.342,1.6693631128897e-45,"0","TC2N"
1.17298141795866e-48,2.34454214504276,0.498,0.086,2.47393510861662e-44,"0","ENSG00000249806"
1.18406452382733e-48,1.51091919497007,0.923,0.375,2.49731048720423e-44,"0","SYNE2"
1.19720016601812e-48,2.85085418901556,0.507,0.095,2.52501487014882e-44,"0","FAAH2"
1.84909774417406e-48,1.41694714138791,0.932,0.351,3.89993205223751e-44,"0","CD3E"
2.25574529959846e-48,1.41449978324966,0.778,0.211,4.75759241138312e-44,"0","LEF1"
1.26435798403605e-46,1.74287576703525,0.783,0.277,2.66665742413044e-42,"0","DOCK9"
6.15714350244422e-46,1.87818932914744,0.575,0.124,1.29860313610051e-41,"0","MAL"
1.29586204924646e-45,1.68754420241767,0.819,0.317,2.7331026480657e-41,"0","LIME1"
7.80791328325843e-45,1.27991122073847,0.986,0.496,1.64676699057204e-40,"0","PRKCH"
2.09729180985787e-44,2.43127422020269,0.584,0.149,4.42339815617123e-40,"0","CD5"
3.39986433718978e-44,1.01825663653187,0.995,0.935,7.17065387356697e-40,"0","CDC42SE2"
1.68190214281433e-43,1.94562333769103,0.733,0.266,3.5472998094097e-39,"0","GALM"
1.99281079724074e-43,1.68249095183918,0.774,0.314,4.20303725246045e-39,"0","RCAN3"
4.02586507974844e-43,1.18150024482216,0.991,0.662,8.49095203969744e-39,"0","KLF12"
1.1606497304309e-42,2.614857031713,0.475,0.094,2.44792634645182e-38,"0","EPHA4"
2.61556908291362e-42,1.45191294644286,0.742,0.233,5.51649675277312e-38,"0","THEMIS"
1.58382479349275e-41,1.82083871462768,0.692,0.235,3.34044487195555e-37,"0","TESPA1"
2.59989760429886e-41,3.67339128954742,0.321,0.034,5.48344403722673e-37,"0","ST8SIA1"
6.04610470168209e-41,1.38102423207592,0.896,0.387,1.27518394263177e-36,"0","TNIK"
7.05094719368682e-41,1.44031086617452,0.855,0.342,1.48711527262049e-36,"0","CD96"
2.21224697682969e-40,2.19448300453813,0.557,0.139,4.6658500988315e-36,"0","GATA3"
2.27155437792287e-40,1.39416194544861,0.941,0.562,4.79093533847713e-36,"0","LTB"
6.25278305518385e-40,2.00138982768814,0.566,0.147,1.31877447416883e-35,"0","AQP3"
1.40172713604882e-39,1.62259221931531,0.855,0.456,2.95638270264056e-35,"0","ENSG00000228655"
1.76973387509687e-38,1.86104565744211,0.656,0.218,3.73254571596681e-34,"0","TRBC1"
1.81759328578845e-38,1.45297885327332,0.801,0.33,3.83348599905642e-34,"0","SPOCK2"
1.94363394681847e-38,1.60086139996463,0.733,0.278,4.09931835723483e-34,"0","DGKA"
2.32482275538869e-38,2.21082293881148,0.538,0.139,4.90328367339028e-34,"0","TRAT1"
2.62119708167293e-38,2.44340226474774,0.448,0.094,5.52836676495639e-34,"0","PASK"
4.0209633687698e-38,1.06582937203795,0.986,0.938,8.48061384107238e-34,"0","LINC-PINT"
1.0285656008401e-37,1.79028657115628,0.719,0.289,2.16934770873185e-33,"0","GPRIN3"
1.21576679904277e-37,1.13681753936895,0.937,0.482,2.56417375586111e-33,"0","IFITM1"
2.83050637363235e-37,2.56885762812013,0.439,0.094,5.969820992628e-33,"0","CMTM8"
3.12147643724103e-37,1.10345535551615,0.991,0.501,6.58350595378506e-33,"0","SKAP1"
4.91489566084435e-37,1.81525258273576,0.584,0.168,1.03660064382868e-32,"0","ITM2A"
5.76025439271273e-37,1.53313241508069,0.869,0.559,1.21489525396704e-32,"0","CASK"
1.08292001274003e-36,1.5058088933691,0.783,0.327,2.28398659887e-32,"0","RASGRP1"
1.08613815033371e-36,1.12549567991612,0.932,0.5,2.29077397286884e-32,"0","PCED1B-AS1"
1.86795905670155e-36,1.31713579858035,0.905,0.586,3.93971244648923e-32,"0","ARHGEF3"
6.46681386502513e-36,0.769448998538283,0.973,0.976,1.36391571227245e-31,"0","RPS29"
6.61156232263013e-36,1.52486375054365,0.575,0.161,1.39444460946592e-31,"0","CD226"
8.42816210690039e-36,1.41292020764297,0.855,0.476,1.77758366996636e-31,"0","PRKCA"
1.09599388568727e-35,1.42129230356058,0.9,0.598,2.31156070430302e-31,"0","PAG1"
4.15088974887317e-35,2.44303449846959,0.498,0.138,8.7546415693484e-31,"0","TRAF1"
4.87417972372863e-35,1.81118334264436,0.643,0.219,1.02801324553161e-30,"0","OPTN"
5.79099446603941e-35,2.1166120680018,0.529,0.148,1.22137864283237e-30,"0","ATP8B2"
8.63666449313655e-35,1.19878855109425,0.937,0.477,1.82155890824743e-30,"0","RHOH"
1.72166008774898e-34,1.06269414591178,0.932,0.395,3.63115329107137e-30,"0","LCK"
1.73741684936892e-34,1.19971602236551,0.873,0.574,3.66438587700399e-30,"0","LEPROTL1"
2.43836633806993e-34,1.57497294862934,0.706,0.268,5.14275844362329e-30,"0","CD27"
2.65064943382501e-34,1.22339139290816,0.928,0.493,5.59048472088034e-30,"0","ETS1"
3.71450366017195e-34,1.41277582681619,0.756,0.302,7.83425966966866e-30,"0","PATJ"
5.05950537695131e-34,1.28129820810025,0.747,0.296,1.0671002790528e-29,"0","LAT"
1.6016385292806e-33,1.68530695371447,0.538,0.15,3.37801582210572e-29,"0","ENSG00000253980"
2.71343992984291e-33,1.05022153412377,0.955,0.656,5.72291615603169e-29,"0","AAK1"
5.39888014509793e-33,0.657432001232693,0.973,0.975,1.13867781140261e-28,"0","RPL36"
9.53858431445e-33,1.14293260141186,0.955,0.748,2.01178281776065e-28,"0","ZC3HAV1"
1.80358251071728e-32,1.07052605419627,0.959,0.794,3.80393587335381e-28,"0","DOCK10"
9.21340211213111e-32,1.50168791004476,0.724,0.328,1.94319863946957e-27,"0","PBXIP1"
1.89394877022891e-31,0.655922186370246,0.959,0.392,3.9945273512898e-27,"0","CD247"
3.01207330976901e-31,1.44564545852576,0.828,0.426,6.35276381763382e-27,"0","TRBC2"
3.63294616799331e-31,2.01799441022185,0.443,0.109,7.66224676291469e-27,"0","TNFRSF25"
7.78812463414022e-31,0.708812813485252,0.982,0.981,1.64259336658651e-26,"0","RPS18"
1.41233334388376e-30,0.572500925855493,0.959,0.979,2.97875225558523e-26,"0","RPL14"
3.16870841938094e-30,1.17208687331598,0.873,0.445,6.68312292731633e-26,"0","PCED1B"
5.79325324508017e-30,1.17687288112259,0.919,0.694,1.22185504191986e-25,"0","RASA3"
6.88927429077597e-30,0.86926459640003,0.964,0.713,1.45301684066756e-25,"0","EVL"
7.06804688222379e-30,1.42186179732353,0.801,0.5,1.49072176792982e-25,"0","LRRC8C"
8.18318774217474e-30,1.90525964176716,0.511,0.156,1.72591612670208e-25,"0","ENSG00000273319"
1.08143802908104e-29,3.00702468117316,0.326,0.059,2.28086094713482e-25,"0","ICOS"
2.45712846447126e-29,1.36621176360902,0.801,0.479,5.18232964441634e-25,"0","HIVEP2"
2.54696657991963e-29,0.651040114629077,0.964,0.982,5.37180721370849e-25,"0","RPS3"
3.41430809102618e-29,1.43949293207452,0.62,0.23,7.20111719478331e-25,"0","FLT3LG"
3.49747070581973e-29,1.72264646612614,0.679,0.321,7.37651546564439e-25,"0","LINC00513"
3.67747839852318e-29,1.56977544669988,0.552,0.183,7.75616969032525e-25,"0","NELL2"
1.1237200223853e-28,1.20831223064946,0.869,0.57,2.37003789921283e-24,"0","AKT3"
1.16433604043894e-28,1.0053730834609,0.796,0.367,2.45570114288978e-24,"0","GRAP2"
1.32268658594713e-28,1.81979992595715,0.52,0.164,2.78967827842109e-24,"0","BICDL1"
1.34230489067655e-28,2.58930725195498,0.294,0.048,2.83105524492591e-24,"0","IL2RA"
4.24046332580135e-28,0.613587575234244,0.964,0.972,8.94356120044762e-24,"0","RPL36A"
4.31650377778496e-28,0.522055862655407,0.973,0.985,9.10393811772626e-24,"0","RPS15A"
5.4424905816224e-28,1.21628010457873,0.855,0.556,1.14787568856998e-23,"0","CCSER2"
7.81526613746898e-28,1.99116823181909,0.588,0.27,1.64831778105358e-23,"0","TRADD"
1.28613772012038e-27,1.42226733858088,0.638,0.252,2.71259306550589e-23,"0","EEIG1"
2.59315013268045e-27,0.531934439014553,0.977,0.98,5.46921294483633e-23,"0","RPS2"
2.78116846566216e-27,1.3252708373696,0.787,0.48,5.86576241092805e-23,"0","SPTAN1"
2.82584376953273e-27,1.29859399924099,0.792,0.455,5.95998709432148e-23,"0","MGAT4A"
3.10775824482935e-27,0.601652941309872,0.986,0.981,6.55457291416959e-23,"0","RPS12"
7.65856089815612e-27,1.64261931471151,0.552,0.2,1.61526707903011e-22,"0","PCAT1"
8.05401009587111e-27,2.83309856754299,0.271,0.044,1.69867126932018e-22,"0","NPDC1"
8.33624196241087e-27,0.56001435827742,0.968,0.985,1.75819679229208e-22,"0","RPS14"
1.44904991095083e-26,0.969803282877989,0.878,0.556,3.0561911671864e-22,"0","NCK2"
1.58951835253468e-26,1.66408045222136,0.602,0.241,3.3524531573309e-22,"0","ZNF831"
1.5984902125474e-26,0.547377904908487,0.982,0.987,3.37137570728373e-22,"0","RPL13"
1.84502912642165e-26,1.63877937879659,0.448,0.128,3.89135093053591e-22,"0","TAFA1"
2.59836468675062e-26,0.479678127531085,0.986,0.989,5.48021096082574e-22,"0","EEF1A1"
3.17071429919854e-26,1.03193775665602,0.774,0.393,6.68735352843965e-22,"0","PIK3IP1"
3.73289574557846e-26,0.586697227823121,0.973,0.977,7.87305041699953e-22,"0","RPS25"
4.00766256404838e-26,1.18900323444076,0.706,0.288,8.45256111383444e-22,"0","LINC00861"
4.07379525921696e-26,1.203991394024,0.824,0.575,8.5920415812145e-22,"0","CYLD"
5.66158557281276e-26,0.929628912914702,0.91,0.626,1.19408501316194e-21,"0","GIMAP7"
6.26241186108669e-26,2.54132041026072,0.308,0.062,1.32080528562179e-21,"0","TSPAN18"
8.09627821181024e-26,2.21091832147245,0.412,0.123,1.7075860376529e-21,"0","ZC3H12D"
9.71992261436443e-26,0.590472226737192,0.959,0.96,2.0500288785956e-21,"0","RPL38"
1.24543182133552e-25,1.26998177394655,0.701,0.324,2.62674025437875e-21,"0","NFATC2"
1.55225153421497e-25,1.02382923892098,0.869,0.666,3.27385371081279e-21,"0","GSTK1"
2.0114158764719e-25,0.612054031357817,0.982,0.989,4.24227722506688e-21,"0","RPS27"
2.0872220636439e-25,1.82437340201187,0.575,0.239,4.40216005443135e-21,"0","CCDC7"
2.26587894958329e-25,1.03507587749255,0.91,0.754,4.77896529256612e-21,"0","EML4"
3.72644157639007e-25,0.49207013918521,0.959,0.978,7.85943792876429e-21,"0","RPS4X"
3.84247232769764e-25,0.509877984898826,0.977,0.989,8.1041583863471e-21,"0","RPS27A"
4.14131819518695e-25,1.54710977205104,0.742,0.514,8.7344542054688e-21,"0","ITGB1"
4.29141273099309e-25,0.803023986035756,0.937,0.836,9.05101859093753e-21,"0","PPP2R5C"
4.30112077593291e-25,1.79582130169795,0.471,0.159,9.07149382852011e-21,"0","DUSP16"
4.65207926432922e-25,1.13166872503439,0.738,0.356,9.81170037639676e-21,"0","MLLT3"
5.01348770964744e-25,1.13653984917069,0.742,0.393,1.05739469284174e-20,"0","OXNAD1"
7.48906691857231e-25,0.44400182466443,0.982,0.99,1.57951910379609e-20,"0","TPT1"
8.58815621759225e-25,1.52210886408161,0.534,0.186,1.81132802785238e-20,"0","TMEM204"
9.66150948379234e-25,1.89298827122248,0.493,0.186,2.03770896522664e-20,"0","TULP2"
1.16520103643188e-24,0.385675113477194,0.977,0.985,2.45752550593847e-20,"0","RPL28"
1.26631411817242e-24,1.20615123665774,0.615,0.235,2.67078310663745e-20,"0","PRKCQ-AS1"
1.53061347489788e-24,1.26207088081676,0.656,0.26,3.22821687990712e-20,"0","SLFN12L"
1.57375036986646e-24,1.1556075624983,0.796,0.516,3.31919690508534e-20,"0","NOSIP"
1.58796829098357e-24,0.789349108424182,0.95,0.822,3.34918392251344e-20,"0","TLE5"
1.67179201924602e-24,1.98667797268704,0.371,0.095,3.52597654779177e-20,"0","SIRPG"
1.94669809975438e-24,1.58176374884592,0.502,0.171,4.10578096219195e-20,"0","SLAMF1"
2.5702096157181e-24,0.527891977070317,0.968,0.972,5.42082910051104e-20,"0","RPL13A"
3.19180573534129e-24,0.585252820663395,0.986,0.976,6.73183747640831e-20,"0","RPL3"
3.26390549825794e-24,2.31270812849385,0.258,0.043,6.88390308637582e-20,"0","HAPLN3"
3.38538815319644e-24,1.7112078765425,0.529,0.2,7.14012215390661e-20,"0","SFXN1"
3.45414497035956e-24,1.38083289662924,0.629,0.267,7.28513715698535e-20,"0","RORA-AS1"
3.58862076268945e-24,1.82561194230946,0.407,0.117,7.56876005058833e-20,"0","LRIG1"
3.76293377651974e-24,0.612382451265068,0.982,0.941,7.93640362805778e-20,"0","SARAF"
5.54135186189386e-24,2.65943089724921,0.281,0.057,1.16872652119203e-19,"0","MCF2L2"
